index,continent,output,output_clean
41,1,"{
  ""tags"": [
    ""Behavioral Reinforcement Learning"",
    ""Honeybees"",
    ""Associative Learning"",
    ""Inhibitory Learning""
  ]
}","{
  ""tags"": [
    ""Behavioral Reinforcement Learning"",
    ""Honeybees"",
    ""Associative Learning"",
    ""Inhibitory Learning""
  ]
}"
42,1,"{
  ""tags"": [
    ""Decision Making"",
    ""Probabilistic Learning"",
    ""Brain Stimulation"",
    ""Hemispheric Asymmetry""
  ]
}","{
  ""tags"": [
    ""Decision Making"",
    ""Probabilistic Learning"",
    ""Brain Stimulation"",
    ""Hemispheric Asymmetry""
  ]
}"
43,1,"{
  ""tags"": [
    ""cross-situational statistical learning"",
    ""older adults"",
    ""statistical learning"",
    ""hyper-binding""
  ]
}","{
  ""tags"": [
    ""cross-situational statistical learning"",
    ""older adults"",
    ""statistical learning"",
    ""hyper-binding""
  ]
}"
44,1,"{
  ""tags"": [
    ""base-rate fallacy"",
    ""sequential categories"",
    ""trial estimation"",
    ""base-rate utilization""
  ]
}","{
  ""tags"": [
    ""base-rate fallacy"",
    ""sequential categories"",
    ""trial estimation"",
    ""base-rate utilization""
  ]
}"
45,1,"{
  ""tags"": [
    ""ratio rule"",
    ""choice probabilities"",
    ""prototype-based categorization"",
    ""connectionist models""
  ]
}","{
  ""tags"": [
    ""ratio rule"",
    ""choice probabilities"",
    ""prototype-based categorization"",
    ""connectionist models""
  ]
}"
46,1,"{
  ""tags"": [
    ""escalation"",
    ""commitment"",
    ""choice"",
    ""accountability"",
    ""effortful""
  ]
}","{
  ""tags"": [
    ""escalation"",
    ""commitment"",
    ""choice"",
    ""accountability"",
    ""effortful""
  ]
}"
47,1,"{
  ""tags"": [
    ""Proprioceptive stimuli"",
    ""Habit formation"",
    ""Behavioral sequences"",
    ""Interresponse time""
  ]
}","{
  ""tags"": [
    ""Proprioceptive stimuli"",
    ""Habit formation"",
    ""Behavioral sequences"",
    ""Interresponse time""
  ]
}"
48,1,"{
  ""tags"": [
    ""Quantum Measurement"",
    ""Consciousness and the Soul"",
    ""Neuroscience"",
    ""Neural Networks"",
    ""Cognitive Science""
  ]
}","{
  ""tags"": [
    ""Quantum Measurement"",
    ""Consciousness and the Soul"",
    ""Neuroscience"",
    ""Neural Networks"",
    ""Cognitive Science""
  ]
}"
49,1,"{
  ""tags"": [
    ""stakeholder dynamics"",
    ""change process"",
    ""time dynamics"",
    ""stakeholder theory""
  ]
}","{
  ""tags"": [
    ""stakeholder dynamics"",
    ""change process"",
    ""time dynamics"",
    ""stakeholder theory""
  ]
}"
50,2,"{
  ""tags"": [
    ""mesolimbic dopamine release"",
    ""reward seeking"",
    ""pavlovian-to-instrumental transfer"",
    ""reward prediction error""
  ]
}","{
  ""tags"": [
    ""mesolimbic dopamine release"",
    ""reward seeking"",
    ""pavlovian-to-instrumental transfer"",
    ""reward prediction error""
  ]
}"
51,2,"{
  ""tags"": [
    ""Low-Dose Ethanol"",
    ""Ventral Hippocampus"",
    ""Reward Learning"",
    ""Male Mice"",
    ""Hippocampal Activity""
  ]
}","{
  ""tags"": [
    ""Low-Dose Ethanol"",
    ""Ventral Hippocampus"",
    ""Reward Learning"",
    ""Male Mice"",
    ""Hippocampal Activity""
  ]
}"
52,2,"{
  ""tags"": [
    ""Proopiomelanocortin"",
    ""Nucleus Accumbens"",
    ""Reward Learning"",
    ""Operant Self-Administration"",
    ""POMC Projections""
  ]
}","{
  ""tags"": [
    ""Proopiomelanocortin"",
    ""Nucleus Accumbens"",
    ""Reward Learning"",
    ""Operant Self-Administration"",
    ""POMC Projections""
  ]
}"
53,2,"{
  ""tags"": [
    ""Dopamine-dependent temporal contiguity"",
    ""Striatal synaptic plasticity"",
    ""Reward learning"",
    ""Dopamine bursts"",
    ""Reinforcement plasticity""
  ]
}","{
  ""tags"": [
    ""Dopamine-dependent temporal contiguity"",
    ""Striatal synaptic plasticity"",
    ""Reward learning"",
    ""Dopamine bursts"",
    ""Reinforcement plasticity""
  ]
}"
54,2,"{
  ""tags"": [
    ""Hypofrontality"",
    ""Posterior Hyperactivity"",
    ""Schizophrenia"",
    ""Neuroimaging"",
    ""Behavioral Markers""
  ]
}","{
  ""tags"": [
    ""Hypofrontality"",
    ""Posterior Hyperactivity"",
    ""Schizophrenia"",
    ""Neuroimaging"",
    ""Behavioral Markers""
  ]
}"
55,2,"{
  ""tags"": [
    ""Neuroplasticity"",
    ""GABAergic"",
    ""Reward"",
    ""DeepBrainStimulation""
  ]
}","{
  ""tags"": [
    ""Neuroplasticity"",
    ""GABAergic"",
    ""Reward"",
    ""DeepBrainStimulation""
  ]
}"
56,2,"{
  ""tags"": [
    ""DA terminals"",
    ""VTA dopamine"",
    ""mesolimbic dopamine"",
    ""DA neurons"",
    ""DA terminals"",
    ""VTA dopamine"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals","{
  ""tags"": [
    ""DA terminals"",
    ""VTA dopamine"",
    ""mesolimbic dopamine"",
    ""DA neurons"",
    ""DA terminals"",
    ""VTA dopamine"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"",
    ""DA terminals"" ] }"
57,2,"{
  ""tags"": [
    ""Basal Ganglia"",
    ""Reward Based Motor Adaptation"",
    ""Motor Adaptation"",
    ""Neural Encoding"",
    ""Reward Prediction Errors""
  ]
}","{
  ""tags"": [
    ""Basal Ganglia"",
    ""Reward Based Motor Adaptation"",
    ""Motor Adaptation"",
    ""Neural Encoding"",
    ""Reward Prediction Errors""
  ]
}"
58,2,"{
  ""tags"": [
    ""Sensorimotor learning"",
    ""Reward modulation"",
    ""Caudate nucleus"",
    ""Motor learning"",
    ""Striatum""
  ]
}","{
  ""tags"": [
    ""Sensorimotor learning"",
    ""Reward modulation"",
    ""Caudate nucleus"",
    ""Motor learning"",
    ""Striatum""
  ]
}"
59,2,"{
  ""tags"": [
    ""Ventral subicular lesion"",
    ""Pro-social empathy"",
    ""Social cognition"",
    ""Hippocampal formation""
  ]
}","{
  ""tags"": [
    ""Ventral subicular lesion"",
    ""Pro-social empathy"",
    ""Social cognition"",
    ""Hippocampal formation""
  ]
}"
60,2,"{
  ""tags"": [
    ""Nucleus Accumbens"",
    ""Computational Neuroscience"",
    ""Single Cell Modeling"",
    ""Circuit Level Modeling""
  ]
}","{
  ""tags"": [
    ""Nucleus Accumbens"",
    ""Computational Neuroscience"",
    ""Single Cell Modeling"",
    ""Circuit Level Modeling""
  ]
}"
61,2,"{
  ""tags"": [
    ""Basal ganglia"",
    ""Movement"",
    ""Neural activity"",
    ""Locomotor action""
  ]
}","{
  ""tags"": [
    ""Basal ganglia"",
    ""Movement"",
    ""Neural activity"",
    ""Locomotor action""
  ]
}"
62,2,"{
  ""tags"": [
    ""Dopamine Dynamics"",
    ""Reward Processing"",
    ""Rapid Release"",
    ""Intra-oral Tastant Administration""
  ]
}","{
  ""tags"": [
    ""Dopamine Dynamics"",
    ""Reward Processing"",
    ""Rapid Release"",
    ""Intra-oral Tastant Administration""
  ]
}"
63,2,"{
  ""tags"": [
    ""Dorsal tegmental dopamine neurons"",
    ""Fear conditioning"",
    ""Pavlovian fear"",
    ""Functional neuroanatomy"",
    ""Hebbian plasticity""
  ]
}","{
  ""tags"": [
    ""Dorsal tegmental dopamine neurons"",
    ""Fear conditioning"",
    ""Pavlovian fear"",
    ""Functional neuroanatomy"",
    ""Hebbian plasticity""
  ]
}"
64,2,"{
  ""tags"": [
    ""Motor Cortex"",
    ""Basal Ganglia"",
    ""Reinforcement Learning"",
    ""Motor Control"",
    ""Neural Synaptic Connections""
  ]
}","{
  ""tags"": [
    ""Motor Cortex"",
    ""Basal Ganglia"",
    ""Reinforcement Learning"",
    ""Motor Control"",
    ""Neural Synaptic Connections""
  ]
}"
65,2,"{
  ""tags"": [
    ""associative learning"",
    ""neurotransmitter release"",
    ""axonal compartmentalization"",
    ""computational capacity""
  ]
}","{
  ""tags"": [
    ""associative learning"",
    ""neurotransmitter release"",
    ""axonal compartmentalization"",
    ""computational capacity""
  ]
}"
66,2,"{
  ""tags"": [
    ""VTA dopamine neuron activity"",
    ""social prediction error"",
    ""social reinforcement learning"",
    ""social interaction and motivation""
  ]
}","{
  ""tags"": [
    ""VTA dopamine neuron activity"",
    ""social prediction error"",
    ""social reinforcement learning"",
    ""social interaction and motivation""
  ]
}"
67,2,"{
  ""tags"": [
    ""Reinforcement Learning"",
    ""Brain"",
    ""Neural Basis"",
    ""Decision Making""
  ]
}","{
  ""tags"": [
    ""Reinforcement Learning"",
    ""Brain"",
    ""Neural Basis"",
    ""Decision Making""
  ]
}"
68,2,"{
  ""tags"": [
    ""Dopamine Modulates Dynamic Decision-Making"",
    ""Foraging Behavior"",
    ""Reward Processing"",
    ""Ecological Decision-Making""
  ]
}","{
  ""tags"": [
    ""Dopamine Modulates Dynamic Decision-Making"",
    ""Foraging Behavior"",
    ""Reward Processing"",
    ""Ecological Decision-Making""
  ]
}"
69,2,"{
  ""tags"": [
    ""Psychedelic Therapy"",
    ""Predictive Processing"",
    ""Reinforcement Learning"",
    ""Serotonin"",
    ""Psychotherapy""
  ]
}","{
  ""tags"": [
    ""Psychedelic Therapy"",
    ""Predictive Processing"",
    ""Reinforcement Learning"",
    ""Serotonin"",
    ""Psychotherapy""
  ]
}"
70,2,"{
  ""tags"": [
    ""phasic dopamine release"",
    ""reward-prediction errors"",
    ""optogenetic stimulation"",
    ""dopamine signalling""
  ]
}","{
  ""tags"": [
    ""phasic dopamine release"",
    ""reward-prediction errors"",
    ""optogenetic stimulation"",
    ""dopamine signalling""
  ]
}"
71,2,"{
  ""tags"": [
    ""Long-term depression"",
    ""Dopamine modulation"",
    ""Mesolimbic system"",
    ""Addiction mechanisms""
  ]
}","{
  ""tags"": [
    ""Long-term depression"",
    ""Dopamine modulation"",
    ""Mesolimbic system"",
    ""Addiction mechanisms""
  ]
}"
72,2,"{
  ""tags"": [
    ""Nicotine Reward"",
    ""Anhedonia Depression"",
    ""Dopaminergic System"",
    ""Conditioned Place Preference""
  ]
}","{
  ""tags"": [
    ""Nicotine Reward"",
    ""Anhedonia Depression"",
    ""Dopaminergic System"",
    ""Conditioned Place Preference""
  ]
}"
73,2,"{
  ""tags"": [
    ""Basal ganglia"",
    ""Reward-dependent plasticity"",
    ""Spiking model"",
    ""Neural circuitry"",
    ""Reward prediction error""
  ]
}","{
  ""tags"": [
    ""Basal ganglia"",
    ""Reward-dependent plasticity"",
    ""Spiking model"",
    ""Neural circuitry"",
    ""Reward prediction error""
  ]
}"
74,2,"{
  ""tags"": [
    ""Cerebellum"",
    ""Social Behavior"",
    ""Neurotrophin Receptor"",
    ""Developmental Abnormalities""
  ]
}","{
  ""tags"": [
    ""Cerebellum"",
    ""Social Behavior"",
    ""Neurotrophin Receptor"",
    ""Developmental Abnormalities""
  ]
}"
75,2,"{
  ""tags"": [
    ""Dopamine"",
    ""Reward"",
    ""Cue"",
    ""Motivation""
  ]
}","{
  ""tags"": [
    ""Dopamine"",
    ""Reward"",
    ""Cue"",
    ""Motivation""
  ]
}"
76,2,"{
  ""tags"": [
    ""contextual fear"",
    ""prefrontal cortex"",
    ""hippocampus"",
    ""amygdala"",
    ""limbic cortico-striatal circuit""
  ]
}","{
  ""tags"": [
    ""contextual fear"",
    ""prefrontal cortex"",
    ""hippocampus"",
    ""amygdala"",
    ""limbic cortico-striatal circuit""
  ]
}"
77,2,"{
  ""tags"": [
    ""Working Memory Reinforcement Learning"",
    ""Prefrontal Cortex"",
    ""Motor Cortico-Basal Ganglia Loops"",
    ""Neural Representation"",
    ""Decision Strategy"",
    ""Animal Behavior"",
    ""Human Behavior"",
    ""Neural Coding"",
    ""Model-Based Reinforcement Learning""
  ]
}","{
  ""tags"": [
    ""Working Memory Reinforcement Learning"",
    ""Prefrontal Cortex"",
    ""Motor Cortico-Basal Ganglia Loops"",
    ""Neural Representation"",
    ""Decision Strategy"",
    ""Animal Behavior"",
    ""Human Behavior"",
    ""Neural Coding"",
    ""Model-Based Reinforcement Learning""
  ]
}"
78,2,"{
  ""tags"": [
    ""Behavioral paradigms"",
    ""Value-based decision making"",
    ""Neural systems"",
    ""Genetic tools"",
    ""Operant contingency""
  ]
}","{
  ""tags"": [
    ""Behavioral paradigms"",
    ""Value-based decision making"",
    ""Neural systems"",
    ""Genetic tools"",
    ""Operant contingency""
  ]
}"
79,2,"{
  ""tags"": [
    ""Importin α3"",
    ""Nucleocytoplasmic transport"",
    ""Reward processing"",
    ""Motivation"",
    ""Psychiatric disorders""
  ]
}","{
  ""tags"": [
    ""Importin α3"",
    ""Nucleocytoplasmic transport"",
    ""Reward processing"",
    ""Motivation"",
    ""Psychiatric disorders""
  ]
}"
80,2,"{
  ""tags"": [
    ""medial prefrontal cortex"",
    ""reward-seeking behavior"",
    ""risk of punishment"",
    ""reinforcement learning""
  ]
}","{
  ""tags"": [
    ""medial prefrontal cortex"",
    ""reward-seeking behavior"",
    ""risk of punishment"",
    ""reinforcement learning""
  ]
}"
81,2,"{
  ""tags"": [
    ""alcohol dependence"",
    ""negative reinforcement"",
    ""anticipation"",
    ""50kHz ultrasonic vocalizations""
  ]
}","{
  ""tags"": [
    ""alcohol dependence"",
    ""negative reinforcement"",
    ""anticipation"",
    ""50kHz ultrasonic vocalizations""
  ]
}"
82,2,"{
  ""tags"": [
    ""AMPAR modulator"",
    ""Glutamate receptor"",
    ""Olfactory discrimination"",
    ""Cognitive enhancement""
  ]
}","{
  ""tags"": [
    ""AMPAR modulator"",
    ""Glutamate receptor"",
    ""Olfactory discrimination"",
    ""Cognitive enhancement""
  ]
}"
83,2,"{
  ""tags"": [
    ""Basal Ganglia"",
    ""Neural Encoding"",
    ""Dynamic Cell Assemblies"",
    ""Temporal Convergence"",
    ""Neural Coding""
  ]
}","{
  ""tags"": [
    ""Basal Ganglia"",
    ""Neural Encoding"",
    ""Dynamic Cell Assemblies"",
    ""Temporal Convergence"",
    ""Neural Coding""
  ]
}"
84,2,"{
  ""tags"": [
    ""Galanin"",
    ""Neurotransmitter"",
    ""Reward"",
    ""Amygdala"",
    ""Hypothalamus""
  ]
}","{
  ""tags"": [
    ""Galanin"",
    ""Neurotransmitter"",
    ""Reward"",
    ""Amygdala"",
    ""Hypothalamus""
  ]
}"
